# START - collecting
# STOP
# ---- jitter result ----
# ticks   = 6920
# period  = 20833.339 us/tick
# bpm     = 120.000
# sigma_t = 204.627 us
# k,timestamp_us,residual_us
0,18907131,2138.5
1,18927853,2027.1
2,18948514,1854.8
3,18969368,1875.5
4,18990184,1858.1
5,19011037,1877.8
6,19031923,1930.4
7,19052825,1999.1
8,19073576,1916.8
9,19094510,2017.4
10,19115371,2045.1
11,19136179,2019.8
12,19157005,2012.4
13,19177825,1999.1
14,19198696,2036.7
15,19219494,2001.4
16,19240334,2008.1
17,19261180,2020.7
18,19282011,2018.4
19,19302787,1961.0
20,19323700,2040.7
21,19344424,1931.4
22,19365213,1887.0
23,19386003,1843.7
24,19406894,1901.4
25,19427704,1878.0
26,19448586,1926.7
27,19469389,1896.3
28,19490277,1951.0
29,19511072,1912.7
30,19532029,2036.3
31,19552773,1947.0
32,19573693,2033.6
33,19594475,1982.3
34,19615363,2037.0
35,19636103,1943.6
36,19657033,2040.3
37,19677805,1979.0
38,19698719,2059.6
39,19719470,1977.3
40,19740372,2045.9
41,19761089,1929.6
42,19781940,1947.3
43,19802860,2033.9
44,19823695,2035.6
45,19844418,1925.2
46,19865311,1984.9
47,19886157,1997.6
48,19907008,2015.2
49,19927806,1979.9
50,19948677,2017.6
51,19969504,2011.2
52,19990379,2052.9
53,20011163,2003.5
54,20032042,2049.2
55,20052739,1912.9
56,20073531,1871.5
57,20094350,1857.2
58,20115179,1852.8
59,20136006,1846.5
60,20156862,1869.2
61,20177693,1866.8
62,20198523,1863.5
63,20219359,1866.2
64,20240191,1864.8
65,20260012,852.5
66,20280847,854.1
67,20301655,828.8
68,20322532,872.5
69,20342300,-192.9
70,20363103,-223.2
71,20383934,-225.6
72,20404772,-220.9
73,20425576,-250.2
74,20446429,-230.6
75,20467256,-236.9
76,20488165,-161.2
77,20508976,-183.6
78,20529896,-96.9
79,20550779,-47.3
80,20571609,-50.6
81,20592449,-43.9
82,20613262,-64.3
83,20634172,12.4
84,20654930,-63.0
85,20675822,-4.3
86,20696638,-21.6
87,20717443,-50.0
88,20738259,-67.3
89,20759110,-49.6
90,20779925,-68.0
91,20800669,-157.3
92,20821647,-12.7
93,20842413,-80.0
94,20863274,-52.3
95,20884063,-96.7
96,20904894,-99.0
97,20925764,-62.4
98,20946439,-220.7
99,20967342,-151.0
100,20988094,-232.4
101,21008948,-211.7
102,21029777,-216.0
103,21050633,-193.4
104,21071542,-117.7
105,21092372,-121.1
106,21113239,-87.4
107,21134106,-53.7
108,21154812,-181.1
109,21175798,-28.4
110,21196608,-51.8
111,21217435,-58.1
112,21238278,-48.4
113,21259048,-111.8
114,21279949,-44.1
115,21300773,-53.4
116,21321597,-62.8
117,21342565,71.9
118,21363108,-218.5
119,21383945,-214.8
120,21404765,-228.1
121,21425610,-216.5
122,21446426,-233.8
123,21467296,-197.2
124,21488171,-155.5
125,21508969,-190.8
