# START - collecting
# STOP
# ---- jitter result ----
# ticks   = 2430
# period  = 62500.018 us/tick
# bpm     = 40.000
# sigma_t = 309.010 us
# k,timestamp_us,residual_us
0,22607877,1805.1
1,22669804,1232.0
2,22732804,1732.0
3,22794804,1232.0
4,22857804,1732.0
5,22919804,1232.0
6,22982804,1731.9
7,23044804,1231.9
8,23107804,1731.9
9,23169804,1231.9
10,23232804,1731.9
11,23294804,1231.9
12,23357804,1731.8
13,23419804,1231.8
14,23482804,1731.8
15,23544804,1231.8
16,23607804,1731.8
17,23669804,1231.7
18,23732804,1731.7
19,23794804,1231.7
20,23857804,1731.7
21,23919804,1231.7
22,23982804,1731.7
23,24043804,231.6
24,24105804,-268.4
25,24168804,231.6
26,24230804,-268.4
27,24293804,231.6
28,24355804,-268.4
29,24417822,-750.5
30,24480804,-268.5
31,24543804,231.5
32,24605804,-268.5
33,24668804,231.5
34,24730804,-268.6
35,24793804,231.4
36,24855804,-268.6
37,24918804,231.4
38,24980804,-268.6
39,25043804,231.4
40,25105804,-268.7
41,25168804,231.3
42,25230804,-268.7
43,25293804,231.3
44,25355804,-268.7
45,25418804,231.2
46,25480804,-268.8
47,25543804,231.2
48,25605804,-268.8
49,25668804,231.2
50,25730804,-268.8
51,25793804,231.1
52,25855804,-268.9
53,25918804,231.1
54,25980804,-268.9
55,26043804,231.1
56,26105804,-268.9
57,26168804,231.0
58,26230804,-269.0
59,26293804,231.0
60,26355804,-269.0
61,26418804,231.0
62,26480804,-269.1
63,26543804,230.9
64,26605804,-269.1
65,26668804,230.9
66,26730804,-269.1
67,26793804,230.9
68,26855804,-269.2
69,26918804,230.8
70,26980804,-269.2
71,27043804,230.8
72,27105804,-269.2
73,27168804,230.8
74,27230804,-269.3
75,27293804,230.7
76,27355804,-269.3
77,27418804,230.7
78,27480804,-269.3
79,27543804,230.6
80,27605804,-269.4
81,27668804,230.6
82,27730804,-269.4
83,27793804,230.6
84,27855804,-269.4
85,27918804,230.5
86,27980804,-269.5
87,28043804,230.5
88,28105804,-269.5
89,28168804,230.5
90,28230804,-269.6
91,28293804,230.4
92,28355804,-269.6
93,28418804,230.4
94,28480804,-269.6
95,28543804,230.4
96,28605804,-269.7
97,28668804,230.3
98,28730804,-269.7
99,28793804,230.3
100,28855804,-269.7
101,28918804,230.3
102,28980804,-269.8
103,29043804,230.2
104,29105804,-269.8
105,29168804,230.2
106,29230804,-269.8
107,29293804,230.1
108,29355804,-269.9
109,29418804,230.1
110,29480804,-269.9
111,29543804,230.1
112,29605804,-269.9
113,29668804,230.0
114,29730804,-270.0
115,29793804,230.0
116,29855804,-270.0
117,29918804,230.0
118,29980804,-270.1
119,30043804,229.9
120,30105804,-270.1
121,30168804,229.9
122,30230804,-270.1
123,30293804,229.9
124,30355804,-270.2
125,30418804,229.8
126,30480804,-270.2
127,30543804,229.8
128,30605804,-270.2
129,30668804,229.8
130,30730804,-270.3
131,30793804,229.7
132,30855804,-270.3
133,30918804,229.7
134,30980804,-270.3
135,31043804,229.6
136,31105804,-270.4
137,31168804,229.6
138,31230804,-270.4
139,31293804,229.6
140,31355804,-270.4
141,31418804,229.5
142,31480804,-270.5
143,31543804,229.5
144,31605804,-270.5
145,31668804,229.5
146,31730804,-270.6
147,31793804,229.4
148,31855804,-270.6
149,31918804,229.4
150,31980804,-270.6
151,32043804,229.4
152,32105804,-270.7
153,32168804,229.3
154,32230804,-270.7
155,32293804,229.3
156,32355804,-270.7
157,32418804,229.3
158,32480804,-270.8
159,32543804,229.2
160,32605804,-270.8
161,32668804,229.2
162,32730804,-270.8
163,32793804,229.1
164,32855804,-270.9
165,32918804,229.1
166,32980804,-270.9
167,33043804,229.1
168,33105804,-270.9
169,33168804,229.0
170,33230804,-271.0
171,33293804,229.0
172,33355804,-271.0
173,33418804,229.0
174,33480804,-271.1
175,33543804,228.9
176,33605804,-271.1
177,33668804,228.9
178,33730804,-271.1
179,33793804,228.9
180,33855804,-271.2
181,33918804,228.8
182,33980804,-271.2
183,34043804,228.8
184,34105804,-271.2
185,34168804,228.8
186,34230804,-271.3
187,34293804,228.7
188,34355804,-271.3
189,34418804,228.7
190,34480804,-271.3
191,34543804,228.6
192,34605804,-271.4
193,34668804,228.6
194,34730804,-271.4
195,34793804,228.6
196,34855804,-271.4
197,34918804,228.5
198,34980804,-271.5
199,35043804,228.5
200,35105804,-271.5
201,35168804,228.5
202,35230804,-271.5
203,35293804,228.4
204,35355804,-271.6
205,35418804,228.4
206,35480804,-271.6
207,35543804,228.4
208,35605804,-271.7
209,35668804,228.3
210,35730804,-271.7
211,35793804,228.3
212,35855804,-271.7
213,35918804,228.3
214,35980804,-271.8
215,36043804,228.2
216,36105804,-271.8
217,36168804,228.2
218,36230804,-271.8
219,36293804,228.1
220,36355804,-271.9
221,36418804,228.1
222,36480804,-271.9
223,36543804,228.1
224,36605804,-271.9
225,36668804,228.0
226,36730804,-272.0
227,36793804,228.0
228,36855804,-272.0
229,36918804,228.0
230,36980804,-272.0
231,37043804,227.9
232,37105804,-272.1
233,37168804,227.9
234,37230804,-272.1
235,37293804,227.9
236,37355804,-272.2
237,37418804,227.8
238,37480804,-272.2
239,37543804,227.8
240,37605804,-272.2
241,37668804,227.8
242,37730804,-272.3
243,37793804,227.7
244,37855804,-272.3
245,37918804,227.7
246,37980804,-272.3
247,38043804,227.6
248,38105804,-272.4
249,38168804,227.6
250,38230804,-272.4
251,38293804,227.6
252,38355804,-272.4
253,38418804,227.5
254,38480804,-272.5
255,38543804,227.5
256,38605804,-272.5
257,38668804,227.5
258,38730804,-272.5
259,38793804,227.4
260,38855804,-272.6
261,38918804,227.4
262,38980804,-272.6
263,39043804,227.4
