v_cmd,omega_mean,t,torque,omega
-32.0,-32.05758970578511,1.25030055642128e-07,-0.02697572484612465,-32.3876838684082
-32.0,-32.05758970578511,0.012507250008638948,-0.04862893372774124,-31.725584030151367
-32.0,-32.05758970578511,0.024802125000860542,-0.04296271502971649,-31.961650848388672
-32.0,-32.05758970578511,0.037133334029931575,-0.038910992443561554,-32.0018196105957
-32.0,-32.05758970578511,0.04947058402467519,-0.05147785693407059,-31.726728439331055
-32.0,-32.05758970578511,0.061812166997697204,-0.02727079764008522,-32.38219451904297
-32.0,-32.05758970578511,0.07438904204173014,-0.04514667019248009,-31.802017211914062
-32.0,-32.05758970578511,0.08671512501314282,-0.04115474969148636,-32.01541519165039
-32.0,-32.05758970578511,0.09911308402661234,-0.03342130035161972,-32.12110900878906
-32.0,-32.05758970578511,0.11148579203290865,-0.04727485030889511,-31.845993041992188
-32.0,-32.05758970578511,0.12372104200767353,-0.026726694777607918,-32.439491271972656
-32.0,-32.05758970578511,0.1358454170404002,-0.041422195732593536,-31.87318229675293
-32.0,-32.05758970578511,0.14803887502057478,-0.045493461191654205,-31.877355575561523
-32.0,-32.05758970578511,0.16025600000284612,-0.030858678743243217,-32.25068283081055
-32.0,-32.05758970578511,0.17230091703822836,-0.05018016695976257,-31.79452896118164
-32.0,-32.05758970578511,0.18463362503098324,-0.028963284566998482,-32.30575180053711
-32.0,-32.05758970578511,0.19696200004545972,-0.041493069380521774,-31.882543563842773
-32.0,-32.05758970578511,0.20919404202140868,-0.04830057546496391,-31.817110061645508
-32.0,-32.05758970578511,0.22165875002974644,-0.025928692892193794,-32.352149963378906
-32.0,-32.05758970578511,0.23433200002182275,-0.0486893504858017,-31.847444534301758
-32.0,-32.05758970578511,0.2472077920101583,-0.02779371477663517,-32.392921447753906
-32.0,-32.05758970578511,0.2601326670264825,-0.045252710580825806,-31.7790584564209
-32.0,-32.05758970578511,0.2732842499972321,-0.042252037674188614,-32.020931243896484
-32.0,-32.05758970578511,0.28629233402898535,-0.03886342793703079,-32.02421951293945
-32.0,-32.05758970578511,0.29929920902941376,-0.04807819426059723,-31.797943115234375
-32.0,-32.05758970578511,0.31212608399800956,-0.02484465204179287,-32.51564407348633
-32.0,-32.05758970578511,0.325185917026829,-0.05551927536725998,-31.645322799682617
-32.0,-32.05758970578511,0.33843925001565367,-0.029049096629023552,-32.33952713012695
-32.0,-32.05758970578511,0.3533422090113163,-0.03933774679899216,-31.94091796875
-32.0,-32.05758970578511,0.3652409170172177,-0.04422817751765251,-31.90888023376465
-32.0,-32.05758970578511,0.3772695420193486,-0.028381943702697754,-32.2542839050293
-32.0,-32.05758970578511,0.39038699999218807,-0.0546085424721241,-31.735877990722656
-32.0,-32.05758970578511,0.40469312499044463,-0.026018083095550537,-32.526451110839844
-32.0,-32.05758970578511,0.4175980419968255,-0.04673698544502258,-31.82962989807129
-32.0,-32.05758970578511,0.43059062503743917,-0.03391777724027634,-32.25471496582031
-32.0,-32.05758970578511,0.4438177919946611,-0.043462805449962616,-31.97362518310547
-32.0,-32.05758970578511,0.4566815420403145,-0.048305634409189224,-31.76919937133789
-32.0,-32.05758970578511,0.47009945899480954,-0.026273034512996674,-32.396820068359375
-32.0,-32.05758970578511,0.4825235840398818,-0.051296282559633255,-31.81683921813965
-32.0,-32.05758970578511,0.4950755840400234,-0.027474969625473022,-32.37958908081055
-32.0,-32.05758970578511,0.5074105000239797,-0.04252319037914276,-31.946073532104492
-32.0,-32.05758970578511,0.5206180840032175,-0.04157700762152672,-31.99553680419922
-32.0,-32.05758970578511,0.5357174589880742,-0.04078366607427597,-31.97493553161621
-32.0,-32.05758970578511,0.548265875026118,-0.04853222519159317,-31.791667938232422
-32.0,-32.05758970578511,0.562500583997462,-0.022049445658922195,-32.546634674072266
-32.0,-32.05758970578511,0.575063208991196,-0.05135805904865265,-31.766620635986328
-32.0,-32.05758970578511,0.5880668750032783,-0.030223991721868515,-32.35162353515625
-32.0,-32.05758970578511,0.6017839590203948,-0.04116268455982208,-31.92736053466797
-32.0,-32.05758970578511,0.6146941670449451,-0.04205285385251045,-31.9886417388916
-32.0,-32.05758970578511,0.6269587920396589,-0.030570853501558304,-32.200199127197266
-32.0,-32.05758970578511,0.6400599590269849,-0.04927903413772583,-31.79176139831543
-32.0,-32.05758970578511,0.6536002090433612,-0.026883749291300774,-32.42251205444336
-32.0,-32.05758970578511,0.6659236249979585,-0.04725780338048935,-31.7403507232666
-32.0,-32.05758970578511,0.6784853340359405,-0.03765418380498886,-32.14179611206055
-32.0,-32.05758970578511,0.6925882920040749,-0.04311313107609749,-31.96632194519043
-32.0,-32.05758970578511,0.7079588749911636,-0.04347189515829086,-31.970600128173828
-32.0,-32.05758970578511,0.7209492500405759,-0.03608062490820885,-32.061851501464844
-32.0,-32.05758970578511,0.7353120840271004,-0.04618719592690468,-31.79364776611328
-32.0,-32.05758970578511,0.7483029590221122,-0.02254633791744709,-32.59053039550781
-32.0,-32.05758970578511,0.7605590000166558,-0.049081750214099884,-31.74656105041504
-32.0,-32.05758970578511,0.7729837090009823,-0.036654748022556305,-32.12836837768555
-32.0,-32.05758970578511,0.7852266670088284,-0.04293224588036537,-31.913450241088867
-32.0,-32.05758970578511,0.7968443339923397,-0.048476025462150574,-31.77234649658203
-32.0,-32.05758970578511,0.8091787919984199,-0.024090507999062538,-32.54473114013672
-32.0,-32.05758970578511,0.8211169590358622,-0.045008983463048935,-31.798259735107422
-32.0,-32.05758970578511,0.8338967920280993,-0.042065247893333435,-32.007503509521484
-32.0,-32.05758970578511,0.8460924589890055,-0.03984431177377701,-32.013519287109375
-32.0,-32.05758970578511,0.858013084041886,-0.04868783801794052,-31.82529067993164
-32.0,-32.05758970578511,0.8698135840240866,-0.023819927126169205,-32.50556182861328
-32.0,-32.05758970578511,0.8821879170136526,-0.03944787010550499,-31.98505210876465
-32.0,-32.05758970578511,0.8947856670129113,-0.044355861842632294,-31.97904396057129
-32.0,-32.05758970578511,0.9070757090230472,-0.03292839229106903,-32.181182861328125
-32.0,-32.05758970578511,0.9195133339962922,-0.05013825371861458,-31.829042434692383
-32.0,-32.05758970578511,0.9317975420271978,-0.02528485283255577,-32.455387115478516
-32.0,-32.05758970578511,0.9440531250438653,-0.04262265935540199,-31.9332332611084
-32.0,-32.05758970578511,0.9563443750375882,-0.04427870735526085,-31.94163703918457
-32.0,-32.05758970578511,0.9694787500193343,-0.03290412947535515,-32.118690490722656
-32.0,-32.05758970578511,0.9811776250135154,-0.050796326249837875,-31.789464950561523
-32.0,-32.05758970578511,0.9935256669996306,-0.026909269392490387,-32.43424606323242
-32.0,-32.05758970578511,1.0075003750389442,-0.04277917742729187,-31.9030818939209
-32.0,-32.05758970578511,1.0202719590160996,-0.038351625204086304,-32.108314514160156
-32.0,-32.05758970578511,1.0334883750183508,-0.04103873297572136,-31.9650821685791
-32.0,-32.05758970578511,1.0462352500180714,-0.0471077598631382,-31.773807525634766
-32.0,-32.05758970578511,1.0585581249906681,-0.02482658624649048,-32.566524505615234
-32.0,-32.05758970578511,1.071334875014145,-0.046303484588861465,-31.808958053588867
-32.0,-32.05758970578511,1.0841775420121849,-0.03206943720579147,-32.2529182434082
-32.0,-32.05758970578511,1.0958494590013288,-0.04036039486527443,-31.997970581054688
-32.0,-32.05758970578511,1.1081941250013188,-0.04716693237423897,-31.792526245117188
-32.0,-32.05758970578511,1.120635042025242,-0.02482561208307743,-32.58224868774414
-32.0,-32.05758970578511,1.1330504170036875,-0.04726286977529526,-31.814481735229492
-32.0,-32.05758970578511,1.1464390840264969,-0.03398311510682106,-32.21866989135742
-32.0,-32.05758970578511,1.1587857920094393,-0.041733577847480774,-31.934825897216797
-32.0,-32.05758970578511,1.1705144590232521,-0.049139246344566345,-31.71336555480957
-32.0,-32.05758970578511,1.1829049169900827,-0.02611571177840233,-32.49253845214844
-32.0,-32.05758970578511,1.1945817500236444,-0.045656751841306686,-31.830469131469727
-32.0,-32.05758970578511,1.2068045420455746,-0.0395716093480587,-32.071773529052734
-32.0,-32.05758970578511,1.2185272499918938,-0.03559224307537079,-32.088348388671875
-32.0,-32.05758970578511,1.2307610000134446,-0.051765553653240204,-31.765993118286133
-32.0,-32.05758970578511,1.242557667021174,-0.027271514758467674,-32.417457580566406
-32.0,-32.05758970578511,1.25486212503165,-0.03947992995381355,-32.05191421508789
-32.0,-32.05758970578511,1.2672277920064516,-0.04137684404850006,-32.02083969116211
-32.0,-32.05758970578511,1.27965308399871,-0.028850320726633072,-32.299652099609375
-32.0,-32.05758970578511,1.2919107920024544,-0.0516468770802021,-31.783540725708008
