v_cmd,omega_mean,t,torque,omega
-32.0,-32.00667858967739,6.249756552278996e-07,-0.06223154067993164,-32.047027587890625
-32.0,-32.00667858967739,0.012869165977463126,-0.06586319953203201,-31.934398651123047
-32.0,-32.00667858967739,0.02623374998802319,-0.060538262128829956,-31.98581886291504
-32.0,-32.00667858967739,0.04017604101682082,-0.06557637453079224,-31.843523025512695
-32.0,-32.00667858967739,0.0552821250166744,-0.05763866752386093,-32.10883331298828
-32.0,-32.00667858967739,0.06835662497906014,-0.06845545023679733,-31.814590454101562
-32.0,-32.00667858967739,0.08580833300948143,-0.0577026903629303,-32.18486022949219
-32.0,-32.00667858967739,0.09890179097419605,-0.06623804569244385,-31.83232307434082
-32.0,-32.00667858967739,0.11259954096749425,-0.057824913412332535,-32.144622802734375
-32.0,-32.00667858967739,0.12910479097627103,-0.0659145638346672,-31.87611198425293
-32.0,-32.00667858967739,0.14159883296815678,-0.06421111524105072,-31.985218048095703
-32.0,-32.00667858967739,0.15488649997860193,-0.061246052384376526,-31.975040435791016
-32.0,-32.00667858967739,0.1674244159949012,-0.06491777300834656,-31.956523895263672
-32.0,-32.00667858967739,0.17959654098376632,-0.057111956179142,-32.110355377197266
-32.0,-32.00667858967739,0.19207466597435996,-0.06567943841218948,-31.811098098754883
-32.0,-32.00667858967739,0.2054287499631755,-0.06041984260082245,-32.04631042480469
-32.0,-32.00667858967739,0.21879887499380857,-0.061257969588041306,-32.01899337768555
-32.0,-32.00667858967739,0.23146699997596443,-0.06274005025625229,-31.958086013793945
-32.0,-32.00667858967739,0.24471504101529717,-0.05999080464243889,-32.13874816894531
-32.0,-32.00667858967739,0.2586827909690328,-0.06456326693296432,-31.857046127319336
-32.0,-32.00667858967739,0.273774333007168,-0.06284109503030777,-31.995561599731445
-32.0,-32.00667858967739,0.28683291596826166,-0.06802825629711151,-31.84670066833496
-32.0,-32.00667858967739,0.3009487909730524,-0.0597396194934845,-32.12450408935547
-32.0,-32.00667858967739,0.3140020829741843,-0.06417161226272583,-31.959959030151367
-32.0,-32.00667858967739,0.3274925409932621,-0.06778799742460251,-31.927448272705078
-32.0,-32.00667858967739,0.3400990829686634,-0.06275319308042526,-32.01618194580078
-32.0,-32.00667858967739,0.3547914999653585,-0.06497757881879807,-31.9232120513916
-32.0,-32.00667858967739,0.3675824999809265,-0.061034150421619415,-32.049495697021484
-32.0,-32.00667858967739,0.3824529999983497,-0.06728868931531906,-31.778329849243164
-32.0,-32.00667858967739,0.39549887500470504,-0.060066789388656616,-32.133026123046875
-32.0,-32.00667858967739,0.407956832961645,-0.05942189320921898,-32.02149963378906
-32.0,-32.00667858967739,0.42040658299811184,-0.06339814513921738,-31.969327926635742
-32.0,-32.00667858967739,0.4328036659862846,-0.06325556337833405,-32.01090621948242
-32.0,-32.00667858967739,0.4453922499669716,-0.06715825945138931,-31.79438018798828
-32.0,-32.00667858967739,0.45774120796704665,-0.0601603239774704,-32.10707473754883
-32.0,-32.00667858967739,0.4701724579790607,-0.057317838072776794,-32.123714447021484
-32.0,-32.00667858967739,0.4826859579770826,-0.06227151304483414,-32.004432678222656
-32.0,-32.00667858967739,0.4955014159786515,-0.06256702542304993,-32.0162353515625
-32.0,-32.00667858967739,0.5079213749850169,-0.06682775914669037,-31.784311294555664
-32.0,-32.00667858967739,0.5201851659803651,-0.056334033608436584,-32.20326614379883
-32.0,-32.00667858967739,0.5325494579738006,-0.05672987550497055,-32.1866455078125
-32.0,-32.00667858967739,0.5449297080049291,-0.06348899751901627,-32.006309509277344
-32.0,-32.00667858967739,0.5572672910057008,-0.06120820343494415,-32.09502029418945
-32.0,-32.00667858967739,0.569606791017577,-0.06332582235336304,-31.90364646911621
-32.0,-32.00667858967739,0.5819719579885714,-0.05492235720157623,-32.18739700317383
-32.0,-32.00667858967739,0.5941395409754477,-0.05904555320739746,-32.073177337646484
-32.0,-32.00667858967739,0.6064313329989091,-0.065575011074543,-31.913665771484375
